时段,排放因子,区域,生效日期
0,0.42,华东电网,2025-01-01
1,0.40,华东电网,2025-01-01
2,0.38,华东电网,2025-01-01
3,0.37,华东电网,2025-01-01
4,0.36,华东电网,2025-01-01
5,0.38,华东电网,2025-01-01
6,0.45,华东电网,2025-01-01
7,0.55,华东电网,2025-01-01
8,0.72,华东电网,2025-01-01
9,0.82,华东电网,2025-01-01
10,0.88,华东电网,2025-01-01
11,0.85,华东电网,2025-01-01
12,0.78,华东电网,2025-01-01
13,0.75,华东电网,2025-01-01
14,0.70,华东电网,2025-01-01
15,0.68,华东电网,2025-01-01
16,0.72,华东电网,2025-01-01
17,0.80,华东电网,2025-01-01
18,0.90,华东电网,2025-01-01
19,0.92,华东电网,2025-01-01
20,0.88,华东电网,2025-01-01
21,0.78,华东电网,2025-01-01
22,0.60,华东电网,2025-01-01
23,0.48,华东电网,2025-01-01
