电表ID,时间,读数,功率
M-001,2025-06-01 08:00:00,1234.56,5.2
M-001,2025-06-01 09:00:00,1240.12,5.5
M-001,2025-06-01 10:00:00,1245.89,5.7
M-001,2025-06-01 11:00:00,1252.34,6.4
M-001,2025-06-01 12:00:00,1256.78,4.4
M-001,2025-06-01 13:00:00,1261.23,4.4
M-001,2025-06-01 14:00:00,1267.89,6.6
M-001,2025-06-01 15:00:00,1273.45,5.5
M-001,2025-06-01 16:00:00,1278.90,5.4
M-001,2025-06-01 17:00:00,1284.12,5.2
M-002,2025-06-01 08:00:00,5678.90,3.1
M-002,2025-06-01 09:00:00,5682.45,3.5
M-002,2025-06-01 10:00:00,5686.12,3.6
M-002,2025-06-01 11:00:00,5690.78,4.6
