device_id,timestamp,power_consumption,temperature_setting,mode
D001,2024-01-15 09:00,2.8,24,heating
D001,2024-01-15 11:00,3.2,24,heating
D001,2024-01-15 14:00,3.0,24,heating
D001,2024-01-15 16:00,2.5,24,heating
D001,2024-01-15 20:00,1.8,22,heating
D001,2024-01-16 09:00,2.9,24,heating
D001,2024-01-16 14:00,3.1,24,heating
D001,2024-02-15 09:00,2.5,24,heating
D001,2024-02-15 14:00,2.8,24,heating
D001,2024-03-15 09:00,1.5,22,heating
D001,2024-03-15 14:00,1.2,22,auto
D001,2024-04-15 09:00,2.0,26,cooling
D001,2024-04-15 14:00,2.5,26,cooling
D001,2024-05-15 09:00,3.5,25,cooling
D001,2024-05-15 14:00,4.2,25,cooling
D001,2024-05-15 20:00,2.8,26,cooling
D001,2024-06-15 09:00,4.5,24,cooling
D001,2024-06-15 14:00,5.8,24,cooling
D001,2024-06-15 20:00,3.5,25,cooling
D003,2024-01-15 09:00,4.5,24,heating
D003,2024-01-15 14:00,5.0,24,heating
D003,2024-02-15 09:00,4.2,24,heating
D003,2024-03-15 09:00,2.0,22,auto
D003,2024-04-15 09:00,3.5,26,cooling
D003,2024-05-15 09:00,5.5,25,cooling
D003,2024-06-15 09:00,7.0,24,cooling
D003,2024-06-15 14:00,8.5,23,cooling
D005,2024-01-15 09:00,8.0,24,heating
D005,2024-01-15 14:00,9.5,24,heating
D005,2024-01-15 20:00,6.0,22,heating
D005,2024-02-15 09:00,7.5,24,heating
D005,2024-03-15 09:00,4.0,22,auto
D005,2024-04-15 09:00,6.0,26,cooling
D005,2024-05-15 09:00,10.5,25,cooling
D005,2024-05-15 14:00,12.0,25,cooling
D005,2024-06-15 09:00,14.0,24,cooling
D005,2024-06-15 14:00,16.5,23,cooling
D005,2024-06-15 20:00,10.0,24,cooling
D007,2024-01-15 09:00,2.5,24,heating
D007,2024-01-15 14:00,3.0,24,heating
D007,2024-02-15 09:00,2.3,24,heating
D007,2024-03-15 09:00,1.2,22,auto
D007,2024-04-15 09:00,2.0,26,cooling
D007,2024-05-15 09:00,3.2,25,cooling
D007,2024-06-15 09:00,4.0,24,cooling
D007,2024-06-15 14:00,4.8,24,cooling
D009,2024-01-15 09:00,2.5,24,heating
D009,2024-02-15 09:00,2.3,24,heating
D009,2024-03-15 09:00,1.0,22,auto
D009,2024-04-15 09:00,2.0,26,cooling
D009,2024-05-15 09:00,3.0,25,cooling
D009,2024-06-15 09:00,4.2,24,cooling
D015,2024-01-15 09:00,5.5,24,heating
D015,2024-01-15 14:00,6.5,24,heating
D015,2024-02-15 09:00,5.0,24,heating
D015,2024-03-15 09:00,3.0,22,auto
D015,2024-04-15 09:00,4.5,26,cooling
D015,2024-05-15 09:00,7.0,25,cooling
D015,2024-06-15 09:00,9.0,23,cooling
D015,2024-06-15 14:00,10.5,23,cooling
D019,2024-01-15 09:00,2.0,24,heating
D019,2024-02-15 09:00,1.8,24,heating
D019,2024-03-15 09:00,1.0,22,auto
D019,2024-04-15 09:00,1.8,26,cooling
D019,2024-05-15 09:00,2.8,25,cooling
D019,2024-06-15 09:00,3.5,24,cooling
D021,2024-01-15 09:00,3.5,24,heating
D021,2024-02-15 09:00,3.2,24,heating
D021,2024-03-15 09:00,1.5,22,auto
D021,2024-04-15 09:00,2.8,26,cooling
D021,2024-05-15 09:00,4.5,25,cooling
D021,2024-06-15 09:00,5.8,24,cooling
D025,2024-01-15 09:00,2.5,24,heating
D025,2024-02-15 09:00,2.2,24,heating
D025,2024-03-15 09:00,1.2,22,auto
D025,2024-04-15 09:00,2.0,26,cooling
D025,2024-05-15 09:00,3.2,25,cooling
D025,2024-06-15 09:00,4.0,24,cooling
D028,2024-01-15 09:00,2.8,24,heating
D028,2024-02-15 09:00,2.5,24,heating
D028,2024-03-15 09:00,1.3,22,auto
D028,2024-04-15 09:00,2.2,26,cooling
D028,2024-05-15 09:00,3.5,25,cooling
D028,2024-06-15 09:00,4.2,24,cooling
D030,2024-01-15 09:00,6.0,24,heating
D030,2024-02-15 09:00,5.5,24,heating
D030,2024-03-15 09:00,3.0,22,auto
D030,2024-04-15 09:00,5.0,26,cooling
D030,2024-05-15 09:00,7.5,25,cooling
D030,2024-06-15 09:00,9.5,23,cooling
D032,2024-01-15 09:00,3.5,24,heating
D032,2024-02-15 09:00,3.0,24,heating
D032,2024-03-15 09:00,1.5,22,auto
D032,2024-04-15 09:00,2.8,26,cooling
D032,2024-05-15 09:00,4.5,25,cooling
D032,2024-06-15 09:00,5.8,24,cooling
D032,2024-06-15 14:00,6.5,23,cooling
D036,2024-01-15 09:00,15.0,22,cooling
D036,2024-01-15 14:00,18.0,22,cooling
D036,2024-01-15 20:00,16.0,22,cooling
D036,2024-02-15 09:00,15.5,22,cooling
D036,2024-02-15 14:00,18.5,22,cooling
D036,2024-03-15 09:00,16.0,22,cooling
D036,2024-03-15 14:00,19.0,22,cooling
D036,2024-04-15 09:00,17.0,22,cooling
D036,2024-04-15 14:00,20.0,22,cooling
D036,2024-05-15 09:00,18.0,22,cooling
D036,2024-05-15 14:00,22.0,22,cooling
D036,2024-06-15 09:00,20.0,22,cooling
D036,2024-06-15 14:00,24.0,22,cooling
D036,2024-06-15 20:00,18.0,22,cooling
D039,2024-01-15 09:00,15.0,22,cooling
D039,2024-01-15 14:00,17.5,22,cooling
D039,2024-02-15 09:00,15.0,22,cooling
D039,2024-03-15 09:00,16.0,22,cooling
D039,2024-04-15 09:00,17.0,22,cooling
D039,2024-05-15 09:00,18.5,22,cooling
D039,2024-06-15 09:00,20.0,22,cooling
D039,2024-06-15 14:00,23.0,22,cooling
D001,2023-01-15 09:00,2.5,24,heating
D001,2023-02-15 09:00,2.2,24,heating
D001,2023-03-15 09:00,1.2,22,auto
D001,2023-04-15 09:00,1.8,26,cooling
D001,2023-05-15 09:00,3.0,25,cooling
D001,2023-06-15 09:00,4.0,24,cooling
D005,2023-01-15 09:00,7.0,24,heating
D005,2023-02-15 09:00,6.5,24,heating
D005,2023-03-15 09:00,3.5,22,auto
D005,2023-04-15 09:00,5.0,26,cooling
D005,2023-05-15 09:00,9.0,25,cooling
D005,2023-06-15 09:00,12.0,24,cooling
