id,room_id,device_type,rated_power,install_date
D001,R001,ac,3.5,2015-06-01
D002,R001,lighting,0.5,2015-06-01
D003,R002,ac,5.0,2015-06-01
D004,R002,lighting,0.3,2015-06-01
D005,R003,ac,10.0,2015-06-01
D006,R003,lighting,1.2,2015-06-01
D007,R004,ac,3.5,2015-06-01
D008,R004,lighting,0.5,2015-06-01
D009,R005,ac,3.5,2015-06-01
D010,R005,lighting,0.5,2015-06-01
D011,R006,ac,5.0,2015-06-01
D012,R007,ac,3.5,2015-06-01
D013,R007,lighting,0.5,2015-06-01
D014,R008,ac,3.5,2015-06-01
D015,R009,ac,7.0,2016-03-15
D016,R009,lighting,0.8,2016-03-15
D017,R010,ac,3.5,2016-03-15
D018,R011,ac,3.5,2015-06-01
D019,R013,ac,3.0,2016-09-01
D020,R013,lighting,0.4,2016-09-01
D021,R014,ac,5.0,2016-09-01
D022,R015,ac,3.0,2016-09-01
D023,R016,ac,3.0,2016-09-01
D024,R017,ac,3.0,2016-09-01
D025,R018,ac,3.5,2018-01-10
D026,R018,lighting,0.5,2018-01-10
D027,R019,lighting,0.3,2018-01-10
D028,R020,ac,3.5,2018-01-10
D029,R021,ac,3.5,2018-01-10
D030,R022,ac,8.0,2018-01-10
D031,R022,lighting,1.0,2018-01-10
D032,R023,ac,5.0,2020-05-20
D033,R023,lighting,0.6,2020-05-20
D034,R024,ac,3.5,2020-05-20
D035,R025,ac,5.0,2020-05-20
D036,R026,ac,20.0,2019-08-01
D037,R026,lighting,0.2,2019-08-01
D038,R027,other,50.0,2019-08-01
D039,R028,ac,20.0,2019-08-01
D040,R012,lighting,0.2,2015-06-01
