device_id,timestamp,power_consumption,duration,brightness
D002,2024-01-15 08:00,0.4,8,80
D002,2024-01-15 18:00,0.2,4,60
D002,2024-01-16 08:00,0.4,8,80
D002,2024-01-16 18:00,0.2,4,60
D002,2024-02-15 08:00,0.4,8,80
D002,2024-03-15 08:00,0.35,7,75
D002,2024-04-15 08:00,0.3,7,70
D002,2024-05-15 08:00,0.3,6,70
D002,2024-06-15 08:00,0.25,6,65
D004,2024-01-15 08:00,0.25,8,70
D004,2024-01-15 18:00,0.15,3,50
D004,2024-02-15 08:00,0.25,8,70
D004,2024-03-15 08:00,0.2,7,65
D004,2024-04-15 08:00,0.2,7,65
D004,2024-05-15 08:00,0.18,6,60
D004,2024-06-15 08:00,0.15,6,55
D006,2024-01-15 08:00,1.0,10,90
D006,2024-01-15 20:00,0.6,5,70
D006,2024-01-16 08:00,1.0,10,90
D006,2024-02-15 08:00,1.0,10,90
D006,2024-03-15 08:00,0.9,9,85
D006,2024-04-15 08:00,0.8,8,80
D006,2024-05-15 08:00,0.7,7,75
D006,2024-06-15 08:00,0.65,7,70
D008,2024-01-15 08:00,0.4,8,80
D008,2024-02-15 08:00,0.4,8,80
D008,2024-03-15 08:00,0.35,7,75
D008,2024-04-15 08:00,0.3,7,70
D008,2024-05-15 08:00,0.3,6,70
D008,2024-06-15 08:00,0.25,6,65
D010,2024-01-15 08:00,0.4,8,80
D010,2024-02-15 08:00,0.4,8,80
D010,2024-03-15 08:00,0.35,7,75
D010,2024-04-15 08:00,0.3,7,70
D010,2024-05-15 08:00,0.3,6,70
D010,2024-06-15 08:00,0.25,6,65
D013,2024-01-15 08:00,0.4,8,80
D013,2024-02-15 08:00,0.4,8,80
D013,2024-03-15 08:00,0.35,7,75
D013,2024-04-15 08:00,0.3,7,70
D013,2024-05-15 08:00,0.3,6,70
D013,2024-06-15 08:00,0.25,6,65
D016,2024-01-15 08:00,0.7,10,85
D016,2024-01-15 22:00,0.5,5,60
D016,2024-02-15 08:00,0.7,10,85
D016,2024-03-15 08:00,0.6,9,80
D016,2024-04-15 08:00,0.55,8,75
D016,2024-05-15 08:00,0.5,7,70
D016,2024-06-15 08:00,0.45,7,65
D020,2024-01-15 08:00,0.3,8,75
D020,2024-02-15 08:00,0.3,8,75
D020,2024-03-15 08:00,0.25,7,70
D020,2024-04-15 08:00,0.25,7,70
D020,2024-05-15 08:00,0.2,6,65
D020,2024-06-15 08:00,0.2,6,60
D026,2024-01-15 08:00,0.4,8,80
D026,2024-02-15 08:00,0.4,8,80
D026,2024-03-15 08:00,0.35,7,75
D026,2024-04-15 08:00,0.3,7,70
D026,2024-05-15 08:00,0.3,6,70
D026,2024-06-15 08:00,0.25,6,65
D027,2024-01-15 08:00,0.25,8,70
D027,2024-02-15 08:00,0.25,8,70
D027,2024-03-15 08:00,0.2,7,65
D027,2024-04-15 08:00,0.2,7,65
D027,2024-05-15 08:00,0.18,6,60
D027,2024-06-15 08:00,0.15,6,55
D031,2024-01-15 08:00,0.8,10,85
D031,2024-01-15 20:00,0.5,4,60
D031,2024-02-15 08:00,0.8,10,85
D031,2024-03-15 08:00,0.7,9,80
D031,2024-04-15 08:00,0.65,8,75
D031,2024-05-15 08:00,0.6,7,70
D031,2024-06-15 08:00,0.55,7,65
D033,2024-01-15 08:00,0.5,8,80
D033,2024-02-15 08:00,0.5,8,80
D033,2024-03-15 08:00,0.45,7,75
D033,2024-04-15 08:00,0.4,7,70
D033,2024-05-15 08:00,0.35,6,65
D033,2024-06-15 08:00,0.3,6,60
D037,2024-01-15 08:00,0.15,12,50
D037,2024-01-15 20:00,0.15,12,50
D037,2024-02-15 08:00,0.15,12,50
D037,2024-03-15 08:00,0.15,12,50
D037,2024-04-15 08:00,0.15,12,50
D037,2024-05-15 08:00,0.15,12,50
D037,2024-06-15 08:00,0.15,12,50
D040,2024-01-15 08:00,0.15,6,50
D040,2024-01-15 22:00,0.1,3,30
D040,2024-02-15 08:00,0.15,6,50
D040,2024-03-15 08:00,0.12,5,45
D040,2024-04-15 08:00,0.12,5,45
D040,2024-05-15 08:00,0.1,4,40
D040,2024-06-15 08:00,0.1,4,40
