meter_id,device_id,timestamp,reading,unit
M001,D001,2024-01-15 08:00,1000,kWh
M001,D001,2024-01-15 12:00,1015,kWh
M001,D001,2024-01-15 18:00,1028,kWh
M001,D001,2024-01-16 08:00,1035,kWh
M001,D001,2024-01-16 12:00,1050,kWh
M001,D001,2024-01-16 18:00,1062,kWh
M001,D001,2024-01-17 08:00,1070,kWh
M001,D001,2024-01-17 12:00,1085,kWh
M001,D001,2024-01-17 18:00,1096,kWh
M001,D001,2024-02-15 08:00,1500,kWh
M001,D001,2024-02-15 12:00,1518,kWh
M001,D001,2024-02-15 18:00,1530,kWh
M001,D001,2024-03-15 08:00,2050,kWh
M001,D001,2024-03-15 12:00,2068,kWh
M001,D001,2024-03-15 18:00,2080,kWh
M001,D001,2024-04-15 08:00,2600,kWh
M001,D001,2024-04-15 12:00,2622,kWh
M001,D001,2024-04-15 18:00,2638,kWh
M001,D001,2024-05-15 08:00,3200,kWh
M001,D001,2024-05-15 12:00,3228,kWh
M001,D001,2024-05-15 18:00,3248,kWh
M001,D001,2024-06-15 08:00,3900,kWh
M001,D001,2024-06-15 12:00,3935,kWh
M001,D001,2024-06-15 18:00,3960,kWh
M002,D005,2024-01-15 08:00,5000,kWh
M002,D005,2024-01-15 12:00,5045,kWh
M002,D005,2024-01-15 18:00,5082,kWh
M002,D005,2024-01-16 08:00,5100,kWh
M002,D005,2024-01-16 12:00,5148,kWh
M002,D005,2024-01-16 18:00,5185,kWh
M002,D005,2024-02-15 08:00,6200,kWh
M002,D005,2024-02-15 12:00,6250,kWh
M002,D005,2024-02-15 18:00,6290,kWh
M002,D005,2024-03-15 08:00,7500,kWh
M002,D005,2024-03-15 12:00,7555,kWh
M002,D005,2024-03-15 18:00,7600,kWh
M002,D005,2024-04-15 08:00,8800,kWh
M002,D005,2024-04-15 12:00,8860,kWh
M002,D005,2024-04-15 18:00,8910,kWh
M002,D005,2024-05-15 08:00,10200,kWh
M002,D005,2024-05-15 12:00,10270,kWh
M002,D005,2024-05-15 18:00,10330,kWh
M002,D005,2024-06-15 08:00,11800,kWh
M002,D005,2024-06-15 12:00,11880,kWh
M002,D005,2024-06-15 18:00,11950,kWh
M003,D015,2024-01-15 08:00,3000,kWh
M003,D015,2024-01-15 12:00,3032,kWh
M003,D015,2024-01-15 18:00,3058,kWh
M003,D015,2024-01-16 08:00,3070,kWh
M003,D015,2024-01-16 12:00,3065,kWh
M003,D015,2024-01-16 18:00,3110,kWh
M003,D015,2024-02-15 08:00,3800,kWh
M003,D015,2024-02-15 12:00,3840,kWh
M003,D015,2024-03-15 08:00,4600,kWh
