id,floor_id,room_number,area,type
R001,F001,101,80,办公室
R002,F001,102,60,会议室
R003,F001,103,120,大厅
R004,F002,201,80,办公室
R005,F002,202,80,办公室
R006,F002,203,60,会议室
R007,F003,301,80,办公室
R008,F003,302,80,办公室
R009,F004,401,100,实验室
R010,F004,402,80,办公室
R011,F005,501,80,办公室
R012,F005,502,60,茶水间
R013,F007,101,70,办公室
R014,F007,102,90,会议室
R015,F008,201,70,办公室
R016,F008,202,70,办公室
R017,F009,301,70,办公室
R018,F012,101,85,办公室
R019,F012,102,65,前台
R020,F013,201,85,办公室
R021,F013,202,85,办公室
R022,F014,301,100,培训室
R023,F018,101,100,研发区
R024,F018,102,80,测试区
R025,F019,201,100,研发区
R026,F021,101,200,机房
R027,F021,102,150,配电间
R028,F022,201,200,机房
